"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link"
"Crisan M.; Muntean C.; Chumakov Y.; Plesu N.","Crisan, Manuela (15062530300); Muntean, Cornelia (24399285000); Chumakov, Yurii (35479437500); Plesu, Nicoleta (6602245458)","15062530300; 24399285000; 35479437500; 6602245458","Investigating the Corrosion Inhibition Mechanisms of Alkanolammonium Salts: A Case Study with Ethylethanolammonium 4-Nitrobenzoate on Carbon Steel in Saline Solution","2024","7","10.3390/app14051832","https://www.scopus.com/pages/publications/85192463564?origin=resultslist"
"Sun K.; Cai W.; He X.; Chen H.; Chen K.; Jiang T.; Li W.; Zhao Y.","Sun, Kuoteng (57218917285); Cai, Weichen (57218919505); He, Xuemin (57752719000); Chen, Hao (58783065900); Chen, Kun (55683530400); Jiang, Tao (57215931511); Li, Wenge (35302858000); Zhao, Yuantao (56500901800)","57218917285; 57218919505; 57752719000; 58783065900; 55683530400; 57215931511; 35302858000; 56500901800","Preparation and Properties of Silane Coupling Agent Modified Basalt Flake Polyurethane Anti-Corrosion Coatings","2023","6","10.3390/coatings13122022","https://www.scopus.com/pages/publications/85180638112?origin=resultslist"
"Hartwig A.; Klein O.; Karl H.","Hartwig, A. (56767750100); Klein, O. (57208220494); Karl, H. (7101711055)","56767750100; 57208220494; 7101711055","Sputtered titanium dioxide thin films for galvanic corrosion protection of AISI 304 stainless steel coupled with carbon fiber reinforced plastics","2017","9","10.1016/j.tsf.2016.12.002","https://www.scopus.com/pages/publications/85004045102?origin=resultslist"
"Branzoi F.; Băran A.; Petrescu S.","Branzoi, Florina (6603294920); Băran, Adriana (7102591204); Petrescu, Simona (54797478800)","6603294920; 7102591204; 54797478800","Evaluation of corrosion protection performance of new polymer composite coatings on carbon steel in acid medium by electrodeposition methods","2021","8","10.3390/coatings11080903","https://www.scopus.com/pages/publications/85111989333?origin=resultslist"
"Zhang W.; Zhu Y.; Yang C.; Li L.","Zhang, Wenfeng (36792349200); Zhu, Yunfeng (7406068507); Yang, Chen (56486222300); Li, Liquan (55507541500)","36792349200; 7406068507; 56486222300; 55507541500","Effects of metal additive on electrochemical performances of Mg-based hydrogen storage materials prepared by hydriding combustion synthesis and subsequent mechanical milling (HCS+MM)","2010","10","10.1016/j.ijhydene.2009.12.038","https://www.scopus.com/pages/publications/77955512671?origin=resultslist"
"Öztürk S.; Gültekin Z.; Akgül G.; Gece G.; Olasunkanmi L.O.","Öztürk, Serkan (36452415600); Gültekin, Zafer (57844911400); Akgül, Gülşen (58678195900); Gece, Gökhan (25121236900); Olasunkanmi, Lukman O. (55358257200)","36452415600; 57844911400; 58678195900; 25121236900; 55358257200","Resistance of di-cationic surfactant containing pyridinium ions to metal oxidation in 1.0 M HCl medium","2025","5","10.1016/j.apsusc.2025.162741","https://www.scopus.com/pages/publications/85218262827?origin=resultslist"
"Wang Z.; Gao F.; Cao G.; Tang S.; Liu Z.","Wang, Zhiguo (56918813400); Gao, Fei (55503454600); Cao, Guangming (23487988800); Tang, Shuai (37023593600); Liu, Zhenyu (26646629000)","56918813400; 55503454600; 23487988800; 37023593600; 26646629000","Elemental Inter-diffusions for the Transformation of δ/M23C6/γ Phases During Heat Treatment Processes in Heavy Gage 316H-Type Austenitic Stainless Steel","2022","12","10.1007/s11661-022-06695-1","https://www.scopus.com/pages/publications/85129815820?origin=resultslist"
"Nejneru C.; Burduhos‐nergis D.-P.; Axinte M.; Perju M.C.; Bejinariu C.","Nejneru, Carmen (26421299100); Burduhos‐nergis, Diana-Petronela (57202740031); Axinte, Mihai (36466070600); Perju, Manuela Cristina (26421360500); Bejinariu, Costica (25226711700)","26421299100; 57202740031; 36466070600; 26421360500; 25226711700","Corrosion Behaviour of Nodular Cast Iron Used for Rotor Manufacturing in Different Wastewaters","2022","7","10.3390/coatings12070911","https://www.scopus.com/pages/publications/85134579335?origin=resultslist"
"Eliyan F.F.; Alfantazi A.","Eliyan, Faysal Fayez (54986289400); Alfantazi, Akram (7003739667)","54986289400; 7003739667","Corrosion Cyclic Voltammetry of Two Types of Heat-Affected Zones (HAZs) of API-X100 Steel in Bicarbonate Solutions","2014","7","10.1007/s11663-014-0153-5","https://www.scopus.com/pages/publications/84920249929?origin=resultslist"
"Abeens M.; Muruganandhan R.","Abeens, M. (57202337969); Muruganandhan, R. (52164265500)","57202337969; 52164265500","Investigation of corrosion behavior on plastically deformed aa 7075 t651 by shot peening process","2021","6","10.1088/2051-672X/ac34c0","https://www.scopus.com/pages/publications/85120354979?origin=resultslist"
"Mondal S.K.; Munichandraiah N.","Mondal, Sujit Kumar (59403392100); Munichandraiah, N. (7005058367)","59403392100; 7005058367","Surface modification of a reactive metal or alloy by polyaniline for electrooxidation of iodide","2006","9","10.1007/s10008-005-0658-6","https://www.scopus.com/pages/publications/27944472220?origin=resultslist"
"Wang J.; Wu K.; Xu C.; Hu X.; Qiu L.","Wang, Jie (59510303100); Wu, Kewei (57250258900); Xu, Changsheng (57250369900); Hu, Xuebu (58603482300); Qiu, Lei (37120875900)","59510303100; 57250258900; 57250369900; 58603482300; 37120875900","LiNbO3-coated Li1.2Mn0.54Ni0.13Co0.13O2 as a cathode material with enhanced electrochemical performances for lithium-ion batteries","2021","9","10.1007/s10854-021-07199-1","https://www.scopus.com/pages/publications/85117088369?origin=resultslist"
